UID,PLACE,LAT,LONG,site_code,SDS_CODE,KANTON,AGE_COHORT,GENDER,MOBILITY
TVKA,Ebnat-Kappel,47.26259,9.12339,SG02,SG26,SG,younger,Weiblich,2
TVYF,Marbach,46.85301,7.89888,LU03,LU32,LU,older,Weiblich,1
TVZQ,Möhlin,47.5575,7.84519,AG08,AG2,AG,younger,Weiblich,1
TWDN,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,younger,Weiblich,1
TWOR,Brugg,47.48281,8.20683,AG03,AG29,AG,younger,Weiblich,1
TYCF,Schiers,46.96946,9.68993,GR06,GR10,GR,younger,Männlich,2
TYEY,Brig-Glis/Gamsen/Ried-Brig,46.29136,7.97069,VS03,WS23,VS,older,Männlich,1
UAFK,Wollerau/Freienbach,47.19581,8.72004,SZ05,SZ1,SZ,older,Weiblich,1
UBKB,Langenthal,47.21231,7.78712,BE14,BE11,BE,older,Weiblich,2
UCAX,Saas-Grund,46.12329,7.938,VS05,WS21,VS,older,Männlich,1
UDTD,Spiez/Faulensee,46.671,7.70914,BE08,BE75,BE,younger,Weiblich,2
UDXP,Unterschächen,46.86328,8.76984,UR03,UR5,UR,older,Männlich,1
UFAM,Winterthur,47.49887,8.72867,ZH06,ZH21,ZH,younger,Weiblich,1
UFDY,Wollerau/Freienbach,47.19581,8.72004,SZ05,SZ1,SZ,younger,Weiblich,2
UGBP,Teufen,47.39069,9.3871,AR02,AP4,AR,older,Weiblich,1
UGGO,St. Gallen,47.43771,9.37291,SG10,SG7,SG,younger,Weiblich,1
UGYQ,Blumenstein,46.74056,7.52107,BE05,BE72,BE,younger,Männlich,1
UHTS,Langenthal,47.21231,7.78712,BE14,BE11,BE,younger,Weiblich,1
UICW,Diepoldsau,47.38495,9.65582,SG01,SG15,SG,older,Männlich,1
UIHT,Möhlin,47.5575,7.84519,AG08,AG2,AG,younger,Männlich,1
UKEJ,Menziken,47.24278,8.18753,AG06,AG54,AG,younger,Weiblich,1
ULLP,Amriswil,47.54509,9.29842,TG01,TG25,TG,older,Männlich,2
UMFL,Winterthur,47.49887,8.72867,ZH06,ZH21,ZH,older,Weiblich,2
UNOI,Zürich,47.3695,8.53885,ZH07,ZH37,ZH,older,Weiblich,1
UOAT,Grabs,47.18279,9.44287,SG05,SG33,SG,younger,Männlich,1
UOSS,Schwyz,47.0211,8.65404,SZ04,SZ13,SZ,younger,Weiblich,1
UPAW,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,younger,Männlich,1
UQJA,Brig-Glis/Gamsen/Ried-Brig,46.29136,7.97069,VS03,WS23,VS,older,Weiblich,1
UQKW,Biel,47.14162,7.24749,BE04,BE15,BE,older,Männlich,3
URJL,Grindelwald,46.62478,8.03534,BE10,BE112,BE,older,Weiblich,2
USUU,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,older,Weiblich,1
UUCL,Aarberg,47.04542,7.2781,BE01,BE31,BE,older,Männlich,1
UVIA,Thun,46.75663,7.6245,BE23,BE74,BE,younger,Weiblich,2
UWMU,Wollerau/Freienbach,47.19581,8.72004,SZ05,SZ1,SZ,younger,Weiblich,2
UWOZ,Büren,47.13906,7.37273,BE06,BE19,BE,older,Weiblich,2
UWSQ,Bettlach,47.20294,7.42412,SO01,SO23,SO,older,Weiblich,1
UXEI,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,younger,Männlich,1
UZPN,Schwyz,47.0211,8.65404,SZ04,SZ13,SZ,older,Weiblich,1
VATG,Münchenbuchsee,47.02124,7.45048,BE18,BE34,BE,younger,Männlich,2
VBQG,Oberägeri,47.14153,8.57767,ZG01,ZG7,ZG,older,Weiblich,1
VCMZ,Liestal,47.48499,7.73451,BL04,BA14,BL,younger,Männlich,2
VCZR,Bettlach,47.20294,7.42412,SO01,SO23,SO,older,Männlich,2
VEKJ,Marbach,46.85301,7.89888,LU03,LU32,LU,younger,Weiblich,1
VETL,Schaffhausen,47.69868,8.63228,SH01,SH7,SH,older,Weiblich,2
VFBX,Mammern,47.64595,8.91593,TG05,TG4,TG,older,Männlich,3
VFEX,Saanen/Gstaad,46.4787,7.27587,BE20,BE93,BE,older,Männlich,2
VFKD,Fischingen,47.41407,8.96914,TG03,TG19,TG,younger,Weiblich,1
VFLN,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,younger,Weiblich,2
VGMD,Langnau,46.94066,7.78536,BE15,BE52,BE,younger,Männlich,1
VGXK,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,older,Weiblich,1
VHUA,Düdingen,46.84647,7.19085,FR01,FR4,FR,younger,Weiblich,2
VIKF,Luzern,47.05392,8.30993,LU02,LU25,LU,older,Weiblich,2
VITE,Zofingen,47.28908,7.94494,AG11,AG47,AG,younger,Männlich,1
VIVS,Engelberg,46.82197,8.40447,OW01,UW12,OW,older,Männlich,2
VJUZ,Appenzell,47.33092,9.41006,AI01,AP11,AI,older,Männlich,2
VJVC,Winterthur,47.49887,8.72867,ZH06,ZH21,ZH,younger,Weiblich,1
VJYT,Unterschächen,46.86328,8.76984,UR03,UR5,UR,older,Weiblich,1
VLFD,Spiez/Faulensee,46.671,7.70914,BE08,BE75,BE,older,Männlich,2
VMPG,Vals,46.61663,9.18029,GR09,GR27,GR,younger,Männlich,3
VMXT,Unterschächen,46.86328,8.76984,UR03,UR5,UR,younger,Männlich,1
VNQO,Schwarzenburg,46.81791,7.34167,BE21,BE64,BE,younger,Weiblich,1
VOVJ,Blumenstein,46.74056,7.52107,BE05,BE72,BE,older,Männlich,1
VOXQ,Vättis,46.9093,9.44055,SG11,SG46,SG,older,Weiblich,1
VOZO,Frick,47.50728,8.02135,AG04,AG6,AG,younger,Weiblich,1
VPSN,Simplon-Dorf,46.19557,8.05655,VS07,WS25,VS,younger,Männlich,1
VQED,Diepoldsau,47.38495,9.65582,SG01,SG15,SG,younger,Männlich,1
VQVH,Altdorf,46.88088,8.643,UR01,UR4,UR,younger,Weiblich,1
VRIT,Merenschwand,47.26031,8.37408,AG07,AG59,AG,younger,Weiblich,2
VRKE,Engelberg,46.82197,8.40447,OW01,UW12,OW,younger,Männlich,1
VRSA,Marbach,46.85301,7.89888,LU03,LU32,LU,younger,Männlich,1
VRST,Appenzell,47.33092,9.41006,AI01,AP11,AI,younger,Männlich,2
VSXG,Düdingen,46.84647,7.19085,FR01,FR4,FR,younger,Männlich,2
VTEA,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,older,Weiblich,1
VUCU,Blumenstein,46.74056,7.52107,BE05,BE72,BE,younger,Männlich,1
VUJO,Simplon-Dorf,46.19557,8.05655,VS07,WS25,VS,younger,Weiblich,2
VUTP,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,younger,Weiblich,1
VUYF,Altdorf,46.88088,8.643,UR01,UR4,UR,younger,Weiblich,1
VVAO,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,younger,Weiblich,1
VWOO,Sursee,47.17131,8.10738,LU04,LU6,LU,younger,Männlich,1
VXQH,Appenzell,47.33092,9.41006,AI01,AP11,AI,younger,Männlich,2
VYVF,Oberägeri,47.14153,8.57767,ZG01,ZG7,ZG,younger,Männlich,2
VZZC,Eschenbach,47.25551,8.91835,SG03,SG22,SG,younger,Weiblich,1
WBHX,Innerthal,47.10615,8.91949,SZ02,SZ8,SZ,younger,Weiblich,1
WCAR,Maur,47.3403,8.66926,ZH04,ZH40,ZH,older,Männlich,1
WCPR,Konolfingen,46.87897,7.62098,BE13,BE60,BE,younger,Weiblich,2
WCWE,Hintere Linthal/Auen,46.89468,8.99111,GL01,GL9,GL,younger,Weiblich,1
WDZS,Davos/Frauenkirch,46.79752,9.82558,GR03,GR24,GR,older,Weiblich,2
WFDO,Schmitten,46.68814,9.67165,GR07,GR34,GR,younger,Weiblich,2
WFQK,Blumenstein,46.74056,7.52107,BE05,BE72,BE,older,Männlich,1
WGFT,Saas-Grund,46.12329,7.938,VS05,WS21,VS,younger,Weiblich,1
WHVY,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,older,Weiblich,1
WIAS,Jaun,46.61094,7.27808,FR04,FR14,FR,younger,Weiblich,1
WIWF,Wil,47.46165,9.04346,SG12,SG2,SG,younger,Männlich,1
WJHB,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,older,Weiblich,3
WJWW,Mammern,47.64595,8.91593,TG05,TG4,TG,older,Männlich,2
WKBB,Lungern,46.7851,8.1576,OW02,UW10,OW,younger,Männlich,2
WLOX,Plaffeien,46.74049,7.28816,FR06,FR12,FR,older,Weiblich,1
WNIY,Schmitten,46.68814,9.67165,GR07,GR34,GR,older,Männlich,2
WNMA,Weinfelden,47.56687,9.10911,TG06,TG9,TG,older,Männlich,2
WOZO,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,older,Weiblich,2
WRWX,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,older,Weiblich,1
WSZF,Merenschwand,47.26031,8.37408,AG07,AG59,AG,older,Weiblich,1
WTEK,Gelterkinden,47.46393,7.85508,BL02,BA19,BL,younger,Männlich,1
WUCN,Brig-Glis/Gamsen/Ried-Brig,46.29136,7.97069,VS03,WS23,VS,older,Männlich,1
WUEY,Schänis,47.16023,9.0463,SG09,SG34,SG,older,Weiblich,2
WUQD,Vättis,46.9093,9.44055,SG11,SG46,SG,younger,Männlich,2
WVLP,Flawil,47.41279,9.18645,SG04,SG3,SG,older,Weiblich,2
WVTO,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,younger,Weiblich,1
WYIV,Möhlin,47.5575,7.84519,AG08,AG2,AG,younger,Weiblich,1
XAEL,Igis,46.96387,9.55825,GR04,GR5,GR,younger,Weiblich,2
XBSQ,Saas-Grund,46.12329,7.938,VS05,WS21,VS,older,Weiblich,1
XCEL,Reckingen,46.46967,8.24325,VS04,WS32,VS,younger,Männlich,2
XCIM,Churwalden,46.79686,9.53858,GR02,GR18,GR,younger,Männlich,2
XDBM,Gränichen,47.35755,8.10045,AG05,AG36,AG,older,Weiblich,1
XDIE,Salgesch,46.31142,7.56975,VS06,WS1,VS,older,Männlich,1
XDYX,Zweisimmen,46.54537,7.38127,BE25,BE91,BE,younger,Männlich,2
XEKM,Glarus,47.04119,9.06642,GL02,GL5,GL,younger,Männlich,2
XEUG,Schiers,46.96946,9.68993,GR06,GR10,GR,older,Weiblich,1
XGAA,Visp,46.29263,7.88375,VS10,WS12,VS,older,Weiblich,2
XIOT,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,older,Männlich,2
XIUW,Amriswil,47.54509,9.29842,TG01,TG25,TG,younger,Weiblich,1
XIWJ,Schänis,47.16023,9.0463,SG09,SG34,SG,younger,Weiblich,2
XIXL,Flawil,47.41279,9.18645,SG04,SG3,SG,younger,Männlich,1
XJVW,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,older,Weiblich,2
XMFF,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,older,Männlich,1
XMXO,Gelterkinden,47.46393,7.85508,BL02,BA19,BL,older,Weiblich,2
XMZW,Blatten,46.42061,7.81976,VS01,WS7,VS,younger,Männlich,3
XNAU,Mels,47.04644,9.41935,SG06,SG41,SG,younger,Weiblich,1
XNEG,Konolfingen,46.87897,7.62098,BE13,BE60,BE,older,Männlich,1
XNJP,Weggis,47.03221,8.43457,LU05,LU28,LU,younger,Weiblich,1
XNVQ,Solothurn,47.2101,7.52971,SO04,SO25,SO,older,Weiblich,2
XOHE,Rorschach/Rorschacherberg,47.48601,9.49412,SG08,SG9,SG,younger,Weiblich,2
XOIQ,Konolfingen,46.87897,7.62098,BE13,BE60,BE,older,Männlich,2
XPCV,Gelterkinden,47.46393,7.85508,BL02,BA19,BL,older,Männlich,1
XPMD,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,younger,Weiblich,1
XQGF,Burgdorf,47.05618,7.6229,BE07,BE38,BE,younger,Weiblich,2
XQYH,Lauterbrunnen,46.5867,7.90705,BE16,BE110,BE,younger,Männlich,3
XRIV,Möhlin,47.5575,7.84519,AG08,AG2,AG,older,Männlich,1
XSVA,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,younger,Weiblich,2
XSXQ,Luzern,47.05392,8.30993,LU02,LU25,LU,older,Männlich,2
XTPT,Würenlingen,47.53103,8.25799,AG10,AG14,AG,younger,Männlich,1
XTSM,Gurmels,46.8932,7.17226,FR03,FR3,FR,older,Weiblich,1
XUAK,Zofingen,47.28908,7.94494,AG11,AG47,AG,younger,Weiblich,1
XVBP,Appenzell,47.33092,9.41006,AI01,AP11,AI,older,Weiblich,1
XVHT,Solothurn,47.2101,7.52971,SO04,SO25,SO,older,Weiblich,1
XVRH,Murten,46.92725,7.11826,FR05,FR1,FR,older,Männlich,1
XVTI,Willisau,47.12156,7.99079,LU06,LU13,LU,younger,Weiblich,2
XVXT,Meiringen,46.72734,8.18692,BE17,BE85,BE,older,Weiblich,2
XXCT,Basel,47.55902,7.58877,BS01,BA1,BS,younger,Männlich,2
XYCB,Hintere Linthal/Auen,46.89468,8.99111,GL01,GL9,GL,younger,Männlich,1
XYEE,Menziken,47.24278,8.18753,AG06,AG54,AG,older,Männlich,1
XYEK,Sumiswald,47.02803,7.74515,BE22,BE42,BE,younger,Männlich,2
XYMB,Zug,47.1682,8.51756,ZG02,ZG5,ZG,older,Männlich,2
XZKG,Vättis,46.9093,9.44055,SG11,SG46,SG,older,Männlich,2
YBWQ,Luzern,47.05392,8.30993,LU02,LU25,LU,older,Weiblich,2
YCXF,Adelboden,46.49315,7.55847,BE02,BE104,BE,younger,Weiblich,1
YDIO,Wollerau/Freienbach,47.19581,8.72004,SZ05,SZ1,SZ,older,Männlich,2
YDPY,St. Gallen,47.43771,9.37291,SG10,SG7,SG,older,Weiblich,1
YDQV,Plaffeien,46.74049,7.28816,FR06,FR12,FR,younger,Weiblich,2
YDSB,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,older,Männlich,1
YECE,Liestal,47.48499,7.73451,BL04,BA14,BL,younger,Weiblich,2
YELS,Blatten,46.42061,7.81976,VS01,WS7,VS,older,Weiblich,1
YFEF,Interlaken/Unterseen,46.68409,7.84646,BE24,BE79,BE,older,Weiblich,2
YFQM,Konolfingen,46.87897,7.62098,BE13,BE60,BE,younger,Weiblich,1
YFTY,Zweisimmen,46.54537,7.38127,BE25,BE91,BE,younger,Männlich,2
YGDB,Blatten,46.42061,7.81976,VS01,WS7,VS,younger,Weiblich,1
YGDZ,Lungern,46.7851,8.1576,OW02,UW10,OW,younger,Weiblich,1
YGIV,Wilchingen,47.66697,8.46779,SH02,SH2,SH,younger,Männlich,1
YGXH,Adelboden,46.49315,7.55847,BE02,BE104,BE,older,Männlich,1
YGYR,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,older,Männlich,2
YHSV,Olten,47.35224,7.89789,SO03,SO12,SO,younger,Weiblich,1
YIIZ,Langnau,46.94066,7.78536,BE15,BE52,BE,younger,Männlich,1
YIKI,St. Gallen,47.43771,9.37291,SG10,SG7,SG,younger,Männlich,1
YIRI,Freiburg,46.79604,7.1675,FR02,FR7,FR,younger,Männlich,2
YJHC,Murten,46.92725,7.11826,FR05,FR1,FR,younger,Männlich,1
YJSI,Menziken,47.24278,8.18753,AG06,AG54,AG,older,Männlich,2
YKFP,Düdingen,46.84647,7.19085,FR01,FR4,FR,younger,Männlich,1
YLOG,Schmitten,46.68814,9.67165,GR07,GR34,GR,older,Weiblich,2
YLYK,Mammern,47.64595,8.91593,TG05,TG4,TG,younger,Weiblich,1
YMLU,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,younger,Männlich,1
YMTU,Wil,47.46165,9.04346,SG12,SG2,SG,older,Weiblich,2
YNDU,Weinfelden,47.56687,9.10911,TG06,TG9,TG,younger,Männlich,2
YOFQ,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,older,Männlich,1
YOGB,Davos/Frauenkirch,46.79752,9.82558,GR03,GR24,GR,younger,Weiblich,2
YPDC,Herisau,47.38892,9.27575,AR01,AP1,AR,older,Männlich,2
YPWC,Zermatt,46.01962,7.74724,VS11,WS20,VS,younger,Weiblich,3
YQIB,Murten,46.92725,7.11826,FR05,FR1,FR,younger,Weiblich,2
YRCD,Zug,47.1682,8.51756,ZG02,ZG5,ZG,younger,Weiblich,2
YRWJ,Huttwil,47.11406,7.84841,BE11,BE26,BE,older,Männlich,1
YRYC,Rorschach/Rorschacherberg,47.48601,9.49412,SG08,SG9,SG,older,Weiblich,1
YUAF,Merenschwand,47.26031,8.37408,AG07,AG59,AG,older,Männlich,1
YVTX,Büren,47.13906,7.37273,BE06,BE19,BE,younger,Weiblich,1
YXMA,Willisau,47.12156,7.99079,LU06,LU13,LU,older,Männlich,1
YXRN,Schänis,47.16023,9.0463,SG09,SG34,SG,older,Weiblich,2
YYYI,Appenzell,47.33092,9.41006,AI01,AP11,AI,younger,Weiblich,1
YZVT,Zürich,47.3695,8.53885,ZH07,ZH37,ZH,younger,Weiblich,2
YZZH,Biel,47.14162,7.24749,BE04,BE15,BE,older,Weiblich,1
ZAAX,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,younger,Weiblich,1
ZAHZ,Hintere Linthal/Auen,46.89468,8.99111,GL01,GL9,GL,younger,Männlich,1
ZBAS,Horgen,47.25917,8.59868,ZH03,ZH55,ZH,older,Weiblich,1
ZCEZ,Bettlach,47.20294,7.42412,SO01,SO23,SO,older,Männlich,1
ZCNV,Sursee,47.17131,8.10738,LU04,LU6,LU,younger,Weiblich,1
ZCOU,Zofingen,47.28908,7.94494,AG11,AG47,AG,older,Weiblich,2
ZDGL,Oensingen,47.29075,7.71757,SO02,SO19,SO,older,Männlich,2
ZEWN,Zermatt,46.01962,7.74724,VS11,WS20,VS,younger,Männlich,2
ZFDB,Aesch,47.46817,7.59647,BL01,BA7,BL,older,Männlich,1
ZFMD,Oensingen,47.29075,7.71757,SO02,SO19,SO,younger,Weiblich,2
ZFOJ,Zug,47.1682,8.51756,ZG02,ZG5,ZG,younger,Männlich,1
ZFWF,Liestal,47.48499,7.73451,BL04,BA14,BL,older,Männlich,1
ZGBL,Huttwil,47.11406,7.84841,BE11,BE26,BE,younger,Männlich,2
ZGNM,Saas-Grund,46.12329,7.938,VS05,WS21,VS,younger,Männlich,1
ZGQY,Rorschach/Rorschacherberg,47.48601,9.49412,SG08,SG9,SG,older,Männlich,1
ZGYT,Burgdorf,47.05618,7.6229,BE07,BE38,BE,older,Männlich,2
ZHCJ,Schwarzenburg,46.81791,7.34167,BE21,BE64,BE,younger,Männlich,2
ZHRR,Weinfelden,47.56687,9.10911,TG06,TG9,TG,younger,Weiblich,2
ZIOD,Wil,47.46165,9.04346,SG12,SG2,SG,older,Männlich,2
ZISL,Solothurn,47.2101,7.52971,SO04,SO25,SO,younger,Weiblich,1
ZJFT,Bern,46.93849,7.44783,BE03,BE47,BE,younger,Männlich,1
ZJOB,Spiez/Faulensee,46.671,7.70914,BE08,BE75,BE,younger,Männlich,2
ZKCK,St. Gallen,47.43771,9.37291,SG10,SG7,SG,younger,Weiblich,1
ZKMF,Biel,47.14162,7.24749,BE04,BE15,BE,younger,Weiblich,1
ZKZN,Wil,47.46165,9.04346,SG12,SG2,SG,older,Weiblich,1
ZLFM,Aarberg,47.04542,7.2781,BE01,BE31,BE,younger,Männlich,1
ZLKX,Langenthal,47.21231,7.78712,BE14,BE11,BE,younger,Weiblich,1
ZLZD,Schwyz,47.0211,8.65404,SZ04,SZ13,SZ,younger,Männlich,2
ZMCX,Salgesch,46.31142,7.56975,VS06,WS1,VS,older,Weiblich,1
ZOLO,Interlaken/Unterseen,46.68409,7.84646,BE24,BE79,BE,younger,Weiblich,1
ZPCZ,Murten,46.92725,7.11826,FR05,FR1,FR,older,Weiblich,2
ZPGU,Unterschächen,46.86328,8.76984,UR03,UR5,UR,older,Weiblich,1
ZPMN,Schänis,47.16023,9.0463,SG09,SG34,SG,younger,Männlich,1
ZPWK,Eschenbach,47.25551,8.91835,SG03,SG22,SG,younger,Männlich,2
ZPWZ,Glarus,47.04119,9.06642,GL02,GL5,GL,younger,Männlich,2
ZQMH,Willisau,47.12156,7.99079,LU06,LU13,LU,younger,Männlich,2
ZQTC,Grindelwald,46.62478,8.03534,BE10,BE112,BE,older,Männlich,2
ZRRB,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,older,Weiblich,1
ZRWA,Plaffeien,46.74049,7.28816,FR06,FR12,FR,younger,Weiblich,1
ZSMF,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,older,Männlich,2
ZTBJ,Frick,47.50728,8.02135,AG04,AG6,AG,younger,Weiblich,2
ZTLY,Menziken,47.24278,8.18753,AG06,AG54,AG,older,Weiblich,2
ZUYN,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,younger,Weiblich,2
ZVDJ,Brig-Glis/Gamsen/Ried-Brig,46.29136,7.97069,VS03,WS23,VS,older,Weiblich,1
ZVMY,Liestal,47.48499,7.73451,BL04,BA14,BL,older,Weiblich,2
ZVYB,Eschenbach,47.25551,8.91835,SG03,SG22,SG,older,Männlich,1
ZWLT,Spreitenbach,47.4178,8.36491,AG09,AG33,AG,younger,Männlich,1
ZXKI,Fischingen,47.41407,8.96914,TG03,TG19,TG,younger,Männlich,1
ZYHQ,Basel,47.55902,7.58877,BS01,BA1,BS,younger,Weiblich,1
ZYKF,Ernen,46.39836,8.14467,VS02,WS29,VS,older,Männlich,1
ZZSM,Churwalden,46.79686,9.53858,GR02,GR18,GR,younger,Weiblich,2
