AUDIO_CODE,VARIABLE,OLD_VAR,COMMENTS
mic001,mik_test,mik_test,unnötig
A01,beispiel,beispiel,unnötig
A03,beispiel,beispiel,unnötig
001,hund,hund,
002,deckel,deckel,
003,morgen,morgen,
004,glocke,glocke,
005,blatt,blatt,
006,kelle,kelle,
007,lVokalisierungSträäl,strääl,
008,trinken,trinken,
009,darm,darm,
010,fenster,fenster,
011,kirche,kirche,
012,wolle,wolle,
013,melken,melken,
014,gern,gern,
015,zins,zins,
016,pfingsten,pfingsten,
017,rad,rad,
018,gerste,gerste,
019,monat,monat,
020,essen,essen,
021,backen,backen,
022,achse,achse,
023,maschine,maschine,
024,hafen,hafen,
B01,beispiel,beispiel,unnötig
025,butter,butter_genus,
025,butterGenus,butter_genus,
026,teller,teller_genus,
027,sagenKonjunktiv,schoggi_genus,
027,schoggiGenus,schoggi_genus,
028,pult,pult_genus,
029,tunnel,tunnel_genus,
030,hochzeit,hochzeit_genus,
031,migros,migros_genus,
032,kaffee,kaffee_genus,
033,tee,tee_genus,
034,coop,coop_genus,
035,silvester,silvester_genus,
036,spitznamenAnnaName,spitznamen_genus,
036,spitznamenLukasName,spitznamen_genus,
036,spitznamenAnnaGenus,spitznamen_genus,
036,spitznamenLukasGenus,spitznamen_genus,
C01,gehenKonjunktiv,gehen_konjunktiv,
037,sehenKonjunktiv,sehen_konjunktiv,
038,nehmenKonjunktiv,nehmen_konjunktiv,
039,schlagenKonjunktiv,schlagen_konjunktiv,
040,sagenKonjunktiv,sagen_konjunktiv,
041,kaufenKonjunktiv,kaufen_konjunktiv,
042,schlafenKonjunktiv,schlafen_konjunktiv,
043,murmeltier,murmeltier,
044,schoggistängeli,schoggistängeli,
045,dutt,dutt,
046,käsekrusteFondue,kruste_fondue,
047,parlament,parlament,
048,thermometer,thermometer,
049,tempel,tempel,
050,pinguin,pinguin,
051,tomate,tomate,
052,fondue,fondue,
053,militär,militär,
054,kiosk,kiosk,
055,franken,franken,
056,eidechse,eidechse,
057,schnupfen,schnupfen,
058,nichts,nichts,
059,kneifen,kneifen,
060,pauseMachen,pause_machen,
061,schaukeln,schaukeln,
062,puppe,puppe,
063,zöpfe,zöpfe,
064,quetschfleck,quetschfleck,
065,brotrinde,brotrinde,
066,weinenKind,weinen_kind,
067,flachkuchen,flachkuchen,
068,gruss01morgen,gruss_morgen,
069,gruss02mittag,gruss_mittag,
070,gruss03nachmittag,gruss_nachmittag,
071,gruss04abend,gruss_abend,
072,gruss05wandern,gruss_wandern,
073,kuss,kuss,
074,dankeserwiderung,dankeserwiderung,
075,kondukteur,kondukteur_kontrolleur,
076,lokaladverbInZ,in_z_bern_lagepräposition,
077,warumWieWoWerWieso,warum_wie_wo_wer_wieso,
078,italienisch,italienisch,
079,darumRundHaar,darum_rund_haar,
080,matthiasRomeo,matthias_romeo,
081,handtuch,handtuch,
082,entschuldigungVerkäufer,entschuldigung_verkäufer,
083,entschuldigungAnrempeln,entschuldigung_anrempeln,
084,morgenstund,morgenstund,
085,nachAufParisRichtungspräposition,nach_auf_paris_richtungspräposition,
086,kosename,kosename,
087,tischete,tischete,
088,flüstern,flüstern,
089,dummkopf,dummkopf,
090,plaudern,plaudern,
091,ohrfeige,ohrfeige,
092,plappermaul,plappermaul,
093,urinieren,urinieren,
094,mittagessen,mittagessen,
095,monatsnamen,monatsnamen,
096,abend,abend,
097,fragen,fragen,
098,fest,fest,
099,wespeUmlaut,wespe,
100,speck,speck,
101,gotte,gotte,
102,donnerstag,donnerstag,
103,brot,brot,
104,küche,küche,
105,füchse,füchse,
106,schlitten,schlitten,
107,schnee,schnee,
108,geiss,geiss,
109,chriesi,chriesi,
110,heuen,heuen,
111,füsse,füsse,
112,augen,augen,
113,besen,besen,
114,schneien,schneien,
115,baum,baum,
116,knie,knie,
117,lüpfe,lüpfe,
118,schwer,schwer,
119,umlautMücke,mücke,
120,umlautRücken,rücken,
121,käse,käse,
G01,beispiel,beispiel,unnötig
122,gehenParadigma,gehen_paradigma,
123,gehenPartizip,gehen_partizip,
124,seinPlural,sein_paradigma,
125,seinPartizip,sein_partizip,
126,habenParadigma,haben_paradigma,
127,habenPartizip,haben_partizip,
128,sehenParadigma,sehen_paradigma,
129,kommenParadigma,kommen_paradigma,
130,kommenPartizip,kommen_partizip,
131,gebracht,bringen_partizip,
132,schreibenPartizip,schreiben_partizip,
133,trinkenPartizip,trinken_partizip,
134,bonbon,bonbon,
135,rösti,rösti,
136,schürze,schürze,
137,schublade,schublade,
138,sofa,sofa,
139,giesskanne,giesskanne,
140,giessen,giessen,
141,löwenzahn,löwenzahn,
142,heidelbeere,heidelbeere,
143,apfelüberrest,apfelüberrest,
144,zwiebel,zwiebel,
145,kartoffel,kartoffel,
146,rande,rande,
147,ameise,ameise,
148,heuschrecke,heuschrecke,
149,wange,wange,
150,schmetterling,schmetterling,
151,biene,biene,
152,hahn,hahn,
153,kater,kater,
154,zaun,zaun,
155,pfütze,pfütze,
156,brotanfang,brotanfang,
157,purzelbaum,purzelbaum,
158,taschentuch,taschentuch,
159,sommersprossen,sommersprossen,
160,kirschenPflücken,kirschen_pflücken,
161,weinenErwachsene,weinen_erwachsene,
162,bernerin,bernerin,
163,lVokalisierungSalz,salz,
164,nase,nase,
165,brille,brille,
166,milch,milch,
167,apfel,apfel,
168,schwester,schwester,
169,neu,neu,
170,bauen,bauen,
I01,beispiel,beispiel,unnötig
171,busPlural,bus_plural,
172,stielPlural,stiel_plural,
173,zweiMänner,mann_plural,
174,schneiderinPlural,schneiderin_plural,
175,postautoPl,postauto_plural,
176,nagelPlural,nagel_plural,
177,maus,maus_plural,
177,mäuse,maus_plural,
178,rosePlural,rose_plural,
179,carPlural,car_plural,
180,grabPlural,grab_plural,
181,bruder,bruder,
182,bruderPlural,bruder_plural,
183,lVokalisierungSohle,sohle,
184,sohlePlural,sohle_plural,
185,themaPlural,thema_plural,
186,bettPhon,bett,
187,bettPlural,bett_plural,
188,tanne,tanne,
189,tannePlural,tanne_plural,
190,umlautBrücke,brücke,
191,brückePlural,brücke_plural,
_les000,lesetextDialekt,lesetext_dialekt,
192,spinnennetz,spinnennetz,
193,nähen,nähen,
194,spucken,spucken,
195,weihnachten,weihnachten,
196,schlittschuhlaufen,schlittschuh_laufen,
197,regenschirm,regenschirm,
198,küken,küken,
199,marienkäfer,marienkäfer,
200,hier,hier_da,
201,zeitung,zeitung,
202,rechnung,rechnung,
203,fliege,fliege,
204,sonne,sonne,
205,kerze,kerze,
206,schwägerin,schwägerin,
207,schneiden,schneiden,
208,umlautDrücken,drücken,
209,tragenGetragen,tragen_getragen,
210,kind,kind,
211,brüeli,brüeli,
212,fragi,fragi,
213,läsi,läsi,
214,murmel,murmeln_glaskugeln,
215,pferd,pferd,
216,baby,baby,
217,treppe,treppe,
218,diminuitivApfel,apfel_diminutiv,
219,diminuitivRad,rad_diminutiv,
220,diminuitivRadDativPlural,rad_diminutiv_dativ_plural,
221,hundDiminuitiv,hund_diminutiv,
M01,beispiel,beispiel,unnötig
222,katzeIstWild,katze_ist_wild,
223,dreiFrauen,drei_frauen,
224,lVokalisierungFolgen,folge,
225,durch,durch,
226,gewesenBin,gewesen_bin,
227,heiser,heiser,
228,zweiKinder,zwei_kinder,
229,dortDrüben,dort_drüben,
230,kommHerein,komm_herein,
231,heraus,heraus,
232,herunter,herunter_jemand,
232,jemand,herunter_jemand,
233,herauf,herauf,
234,nochmalHinauf,nochmal_hinauf,
235,nochmalHinunter,nochmal_hinunter,
236,dreiMänner,drei_männer,
237,meineCousine,neulich_cousine,
238,baumIstDürr,baum_ist_dürr,
239,schluckauf,schluckauf,
240,michMir,mich_erwischt_keiner,
241,bekommen,erhalten_zwei_franken,
242,ganzFlexion,die_ganze_nacht,
243,hausIstAlt,haus_ist_alt,
244,derPatrick,patrick_kommt_heute_nicht,
245,ziegenbockIstWild,ziegenbock_ist_wild,
246,etwas,immer_etwas_klagen,
247,siehstDuJemanden,siehst_du_jemanden,
248,keineKirschen,keine_kirschen,
249,hinaus,hinaus,
250,mirjamsHut,mirjams_hut,
251,hundIstWild,hund_ist_wild,
252,kommtRegnen,es_kommt_regnen,
253,einHaus,ein_haus,
254,einBaum,ein_baum,
255,eineFrau,eine_frau,
256,sonstWirdEsNichtSauber,sonst_wird_es_nicht_sauber,
257,lassIhnGehen,lass_ihn_gehen,
258,inDenSinn,in_den_sinn,
259,kommenWerden,sonst_wirst_du_krank,
260,futur,morgen_verreisen_futur,
261,draussen,draussen,
262,drinnen,drinnen,
263,gehenLassenVergangenheit,hat_ihn_gehen_lassen,
N01,beispiel,beispiel,unnötig
264,ja,ja,
265,spät,spät,
266,ndVelarisierungFinden,finden,
267,tag,tag,
268,geminateHimmel,himmel,
268,lVokalisierungHimmel,himmel,
269,alt,alt,
270,FALSCH,FALSCH,
271,nein,nein,
272,schön,schön,
273,tief,tief,
274,alteMänner,alte_männer,
275,langeÄste,lange_äste,
276,späterWinter,später_winter,
277,langeZöpfe,lange_zöpfe,
278,bäumeBlühenSpät,bäume_blühen_spät,
279,erSieEsIstBlind,er_sie_es_ist_blind,
280,könnenKomisch,können_komisch,
281,beimKaffeeTrinken,beim_kaffee_trinken,
282,kurzeNacht,kurze_nacht_wegen_der_kurzen_nacht,
283,neueBücher,neue_bücher_in_den_neuen_büchern,
284,dichDir,blumen_sind_nicht_für_dich,
285,zweiFrauen,zwei_frauen,
286,villaIstVerkauftWorden,villa_ist_verkauft_worden,
287,konsonantEis,eis_fängt_an_zu_schmelzen,
287,vokalEis,eis_fängt_an_zu_schmelzen,
288,tee_heiss_trinken,tee_heiss_trinken,
289,weilErNassIst,weil_er_nass_ist,
290,damit_sie_trocknen_kann,damit_sie_trocknen_kann,
291,du_bist_er_ist_gesund,du_bist_er_ist_gesund,
292,schau,schau,
293,er_kommt_heute_nicht,er_kommt_heute_nicht,
294,suppe_ist_fad,suppe_ist_fad,
295,dreiKinder,drei_kinder,
296,papiersack_ist_leer,papiersack_ist_leer,
297,zahlwortEins,zahl_1,
298,zahlwortZwei,zahl_2,
299,zahlwortDrei,zahl_3,
300,zahlwortVier,zahl_4,
301,zahlwortFünf,zahl_5,
302,sechs,zahl_6,
303,zahlwortSieben,zahl_7,
304,zahlwortAcht,zahl_8,
305,zahlwortNeun,zahl_9,
306,zahlwortZehn,zahl_10,
307,zahlwortElf,zahl_11,
308,zahlwortZwölf,zahl_12,
309,zahlwortFünfzehn,zahl_15,
310,zahlwortZwanzig,zahl_20,
311,zahlwortFünfundzwanzig,zahl_25,
312,zahlwortFünfzig,zahl_50,
313,zahlwortSechzig,zahl_60,
314,zahlwortFünfundachtzig,zahl_85,
315,zahlwortEintausend,zahl_1000,
hoh001,lesetext_standarddeutsch,lesetext_standarddeutsch,
imi001,imitation_training1,imitation_training1,
imi002,imitation_training2,imitation_training2,
imi003,imitation_test1,imitation_test1,
imi004,imitation_test2,imitation_test2,
imi005,imitation_test3,imitation_test3,
P03,imitation_sprache_kommentar,imitation_sprache_kommentar,
yan001,yanny_laurel,yanny_laurel,
ivw001,interview,interview,
map001,draw-a-map_kommentar,draw-a-map_kommentar,